criterion,passed
visible_branch_still_separate,true
hidden_branch_feedback_separate,true
hidden_load_positive,true
rotation_load_positive,true
load_strength_above_visible_only,true
capacity_not_reduced,true
core_pressure_below_capacity_after_feedback,true
hidden_fraction_nontrivial,true
visible_fraction_largest,true
shell_radius_remains_outside_dense_core,true
sphericity_remains_reasonable,true
anisotropy_not_dominant,true
bb_largest,true
wz_not_dominant,true
gg_not_dominant,true
small_channels_suppressed,true
channel_l1_below_threshold,true
budget_normalizes,true
