metric,value
version,v0.84
result,DYNAMIC_LATTICE_CONSERVATION_MIXED
source_model,visible_plus_hidden_information_dynamic_lattice
cell_count,8
time_steps,16
boundary,periodic
visible_local_max,0.024000000000
visible_global_max,0.000000000000
hidden_local_max,0.024000000000
combined_local_max,0.000000000000
combined_global_max,0.000000000000
combined_L1_all_steps,0.000000000000
exchange_balance_max,0.000000000000
visible_local_conserved_all_steps,False
visible_global_conserved_all_steps,True
combined_local_conserved_all_steps,True
combined_global_conserved_all_steps,True
v083_static_preserved,True
v082_compact_preserved,True
v081_tensor_preserved,True
full_gr_derived,False
observational_test,False
