metric,value
version,v0.72
result,SPATIAL_SCALE_LAPSE_IMPROVES_HZ_AND_DISTANCE_ANCHORS_BUT_NOT_LOCAL_H0_OR_RAW_BAO_PEAK
backprop_used,False
target_loss_used,False
C_ITF,0.689064
O_DV,0.612372435695795
E_DV,1.23489000336875
sigma_X,1.07254986995616
spatial_lapse_percent,7.254986995616
H075_before_spatial_lapse,111.004443394536
H075_after_spatial_lapse,103.465987042567
H075_delta_pct_vs_LCDM,-0.351617664707
H0_after_spatial_lapse,67.163009693987
H0_residual_sigma_Planck,-0.364796862986
H0_residual_sigma_SH0ES,-5.650952217320
DESI_LyA_DH_rd_after,8.646895186319
DESI_LyA_DH_rd_residual_sigma,0.146909331566
DESI_LyA_DM_rd_after,39.311695268734
DESI_LyA_DM_rd_residual_sigma,0.602801995290
BAO_peak_raw_Mpc,152.29
BAO_peak_raw_fractional_error,0.035352505269
BAO_peak_if_divide_by_sigma_Mpc,141.987812002064
BAO_peak_if_divide_fractional_error,-0.034689898004
BAO_peak_if_multiply_by_sigma_Mpc,163.340998699622
BAO_peak_if_multiply_fractional_error,0.110481124957
spatial_lapse_solved_raw_BAO_peak,False
full_BAO_ladder_implemented,False
full_SN_distance_modulus_implemented,False
full_CMB_Cl_implemented,False
