metric,value
version,v0.64
C_ITF,0.689064
tau_ITF,0.708551878163951
O_DV,0.612372435695795
E_DV,1.23489000336875
H075_raw,156.663819284734
H075_v061,111.004443394536
H075_LCDM,103.831075445288
H075_raw_delta_pct,50.8833637837891
H075_v061_delta_pct,6.90869079269838
raw_to_v061_improvement,7.36439183570548
width_v062,3.32598142936141
width_v062_delta_pct,-18.2805545611448
width_v063,4.10722121850852
width_v063_delta_pct,0.914526253280523
max_channel_delta_v062_v063,8.24764893442693
BR_L1_v062_v063,0.0523719944935826
